coverage,stride,top1,n,model,dataset
10,1,0.043013856812933,3464,r3d_18,ssv2
10,2,0.0326212471131639,3464,r3d_18,ssv2
10,4,0.0259815242494226,3464,r3d_18,ssv2
10,8,0.0233833718244803,3464,r3d_18,ssv2
10,16,0.0233833718244803,3464,r3d_18,ssv2
25,1,0.0900692840646651,3464,r3d_18,ssv2
25,2,0.0744803695150115,3464,r3d_18,ssv2
25,4,0.0476327944572748,3464,r3d_18,ssv2
25,8,0.0343533487297921,3464,r3d_18,ssv2
25,16,0.0248267898383371,3464,r3d_18,ssv2
50,1,0.2200984651028091,3453,r3d_18,ssv2
50,2,0.211638679791546,3454,r3d_18,ssv2
50,4,0.1382701764535724,3457,r3d_18,ssv2
50,8,0.0702921608330922,3457,r3d_18,ssv2
50,16,0.0383949191685912,3464,r3d_18,ssv2
75,1,0.3474526066350711,3376,r3d_18,ssv2
75,2,0.3348134991119005,3378,r3d_18,ssv2
75,4,0.2610881135422827,3382,r3d_18,ssv2
75,8,0.1279411764705882,3400,r3d_18,ssv2
75,16,0.0668808411214953,3424,r3d_18,ssv2
100,1,0.3838167938931298,3275,r3d_18,ssv2
100,2,0.3840756558877364,3278,r3d_18,ssv2
100,4,0.3239051094890511,3288,r3d_18,ssv2
100,8,0.1668183196845617,3297,r3d_18,ssv2
100,16,0.08343337334933974,3332,r3d_18,ssv2
