coverage,stride,top1,n
10,1,0.036662817551963,3464
10,2,0.0280023094688221,3464
10,4,0.0251154734411085,3464
10,8,0.0216512702078521,3464
10,16,0.0216512702078521,3464
25,1,0.0866050808314087,3464
25,2,0.0632217090069284,3464
25,4,0.0470554272517321,3464
25,8,0.0297344110854503,3464
25,16,0.023094688221709,3464
50,1,0.2180712423979148,3453
50,2,0.2099015634047481,3454
50,4,0.1333526178767717,3457
50,8,0.0653746022562915,3457
50,16,0.0355080831408776,3464
75,1,0.3524881516587678,3376
75,2,0.3380698638247483,3378
75,4,0.2788290952099349,3382
75,8,0.1297058823529411,3400
75,16,0.0625,3424
100,1,0.3929770992366412,3275
100,2,0.3901769371568029,3278
100,4,0.3515815085158151,3288
100,8,0.1759175007582651,3297
100,16,0.0861344537815126,3332
