coverage,stride,top1,n,model,dataset
10,1,0.020588235294117647,1020,videomae,epic_kitchens
10,2,0.026470588235294117,1020,videomae,epic_kitchens
10,4,0.028431372549019607,1020,videomae,epic_kitchens
10,8,0.027450980392156862,1020,videomae,epic_kitchens
10,16,0.03235294117647059,1020,videomae,epic_kitchens
25,1,0.024509803921568627,1020,videomae,epic_kitchens
25,2,0.03333333333333333,1020,videomae,epic_kitchens
25,4,0.03235294117647059,1020,videomae,epic_kitchens
25,8,0.026470588235294117,1020,videomae,epic_kitchens
25,16,0.026470588235294117,1020,videomae,epic_kitchens
50,1,0.030392156862745098,1020,videomae,epic_kitchens
50,2,0.03333333333333333,1020,videomae,epic_kitchens
50,4,0.024509803921568627,1020,videomae,epic_kitchens
50,8,0.029411764705882353,1020,videomae,epic_kitchens
50,16,0.030392156862745098,1020,videomae,epic_kitchens
75,1,0.03823529411764706,1020,videomae,epic_kitchens
75,2,0.03333333333333333,1020,videomae,epic_kitchens
75,4,0.0392156862745098,1020,videomae,epic_kitchens
75,8,0.03137254901960784,1020,videomae,epic_kitchens
75,16,0.04019607843137255,1020,videomae,epic_kitchens
100,1,0.030392156862745098,1020,videomae,epic_kitchens
100,2,0.03431372549019608,1020,videomae,epic_kitchens
100,4,0.03235294117647059,1020,videomae,epic_kitchens
100,8,0.03333333333333333,1020,videomae,epic_kitchens
100,16,0.03235294117647059,1020,videomae,epic_kitchens
