coverage,stride,top1,n,model,dataset
10,1,0.01694915254237288,177,vivit,ssv2
10,2,0.01694915254237288,177,vivit,ssv2
10,4,0.011299435028248588,177,vivit,ssv2
10,8,0.01694915254237288,177,vivit,ssv2
10,16,0.01694915254237288,177,vivit,ssv2
25,1,0.07344632768361582,177,vivit,ssv2
25,2,0.022598870056497175,177,vivit,ssv2
25,4,0.02824858757062147,177,vivit,ssv2
25,8,0.01694915254237288,177,vivit,ssv2
25,16,0.01694915254237288,177,vivit,ssv2
50,1,0.13559322033898305,177,vivit,ssv2
50,2,0.0903954802259887,177,vivit,ssv2
50,4,0.03389830508474576,177,vivit,ssv2
50,8,0.01694915254237288,177,vivit,ssv2
50,16,0.01694915254237288,177,vivit,ssv2
75,1,0.1977401129943503,177,vivit,ssv2
75,2,0.1638418079096045,177,vivit,ssv2
75,4,0.096045197740113,177,vivit,ssv2
75,8,0.03389830508474576,177,vivit,ssv2
75,16,0.011299435028248588,177,vivit,ssv2
100,1,0.24293785310734464,177,vivit,ssv2
100,2,0.20903954802259886,177,vivit,ssv2
100,4,0.0847457627118644,177,vivit,ssv2
100,8,0.03954802259887006,177,vivit,ssv2
100,16,0.02824858757062147,177,vivit,ssv2
