coverage,stride,top1,n
10,1,0.4135593220338983,885
10,2,0.3966101694915254,885
10,4,0.3672316384180791,885
10,8,0.319774011299435,885
10,16,0.296045197740113,885
25,1,0.5299435028248588,885
25,2,0.5175141242937853,885
25,4,0.488135593220339,885
25,8,0.4350282485875706,885
25,16,0.3706214689265537,885
50,1,0.6463276836158192,885
50,2,0.6372881355932203,885
50,4,0.5943502824858757,885
50,8,0.5322033898305085,885
50,16,0.4508474576271186,885
75,1,0.703954802259887,885
75,2,0.6926553672316385,885
75,4,0.6768361581920904,885
75,8,0.6056497175141243,885
75,16,0.5050847457627119,885
100,1,0.7062146892655368,885
100,2,0.6983050847457627,885
100,4,0.6836158192090396,885
100,8,0.632768361581921,885
100,16,0.5322033898305085,885
