coverage,stride,top1,n,model,dataset
10,1,0.45875706214689266,885,slowfast_r50,hmdb51
10,2,0.43954802259887005,885,slowfast_r50,hmdb51
10,4,0.4067796610169492,885,slowfast_r50,hmdb51
10,8,0.3694915254237288,885,slowfast_r50,hmdb51
10,16,0.3480225988700565,885,slowfast_r50,hmdb51
25,1,0.5909604519774011,885,slowfast_r50,hmdb51
25,2,0.5525423728813559,885,slowfast_r50,hmdb51
25,4,0.5016949152542373,885,slowfast_r50,hmdb51
25,8,0.4553672316384181,885,slowfast_r50,hmdb51
25,16,0.4180790960451977,885,slowfast_r50,hmdb51
50,1,0.7096045197740113,885,slowfast_r50,hmdb51
50,2,0.6937853107344633,885,slowfast_r50,hmdb51
50,4,0.6271186440677966,885,slowfast_r50,hmdb51
50,8,0.5175141242937853,885,slowfast_r50,hmdb51
50,16,0.4463276836158192,885,slowfast_r50,hmdb51
75,1,0.8022598870056498,885,slowfast_r50,hmdb51
75,2,0.7706214689265537,885,slowfast_r50,hmdb51
75,4,0.7163841807909604,885,slowfast_r50,hmdb51
75,8,0.5717514124293785,885,slowfast_r50,hmdb51
75,16,0.480225988700565,885,slowfast_r50,hmdb51
100,1,0.8158192090395481,885,slowfast_r50,hmdb51
100,2,0.8,885,slowfast_r50,hmdb51
100,4,0.7412429378531074,885,slowfast_r50,hmdb51
100,8,0.607909604519774,885,slowfast_r50,hmdb51
100,16,0.48700564971751414,885,slowfast_r50,hmdb51
